GEOID10,Shape_Leng,Shape_Area,State,County,LIFEEXP,LIFEEXP_SE,NEG_LIFEEXP,LOWINCPCT,LESSHSPCT,LINGISOPCT,UNEMPPCT,P_NEG_LIFEEXP,P_LWINCPCT,P_LESHSPCT,P_LNGISPCT,P_UNEMPPCT,Perimeter_km,Area_ha,Perimeter,Area,Shape_Index,Index_1,Index_2,P_Index_1,P_Index_2,PCA_Index_V1,PCA_Index_V2
23005017001,70369.5747062,219751446.899,Maine,"Cumberland County, ME",82.6,2.9202,67.4,23.1261711430356,2.3907103825137,0,3.0311087476734997,12.75561115827413,38.2220679791826,8.5395768298571,22.214977696134895,25.4746132357678,70.3695747061539,21975.144689949633,43.72561300473755,84.8464554917828,0.04437740374659327,19.189598054644563,21.441369379843305,0.1928123557183921,0.07291899378937491,-42.454779441133965,-46.68793675446362
23005004701,48928.590709,72065618.5412,Maine,"Cumberland County, ME",78.6,2.463,71.4,15.2380952380952,1.6949152542372998,0,4.4871794871795,49.11457635196521,20.9050684752373,4.91024221904231,22.214977696134895,47.5174400053032,48.92859070899376,7206.561854120575,30.40280733743816,27.824673658875582,0.03010250967491331,18.564037995902403,28.932460949536583,0.15402945951178829,0.1680443233099504,-39.95680115987424,-60.33403035265108
23005017301,54566.5633147,142269058.432,Maine,"Cumberland County, ME",80.5,1.7409,69.5,9.9329874621703,1.1635122556624,0.6647398843931001,1.2737642585551,29.888447045857347,9.55444334369272,2.81002182812643,31.6983059637638,4.54259975333782,54.56656331469542,14226.905843198872,33.90608001341561,54.93035656610843,0.04778122204807004,16.507000772156182,15.698763586955623,0.04497862770504744,0.02487228750577126,-34.85317317273807,-28.79154047010144
23005004702,58561.58025009999,157339768.15,Maine,"Cumberland County, ME",78.5,1.5899,71.5,20.0677392040643,5.9717937417364,0,2.6281886111827,50.08414875713031,31.5624785433643,30.7442611332642,22.214977696134895,19.4815532945469,58.561580250107326,15733.97681497149,36.38846768158944,60.74918651847479,0.04587889307532179,20.03354431139668,30.817483884888116,0.24601224252714357,0.19599958297961068,-44.10285812523879,-68.72946479792851
23005017102,110114.717165,222288494.394,Maine,"Cumberland County, ME",80.7,1.9226,69.3,17.0888333927934,2.9512403763901003,0.8227374719520999,6.2004325883200995,27.883770460062852,24.987264502591305,11.7416819865889,35.0867921351285,68.0702167790825,110.11471716518447,22228.84943938213,68.42209191964784,85.82601439956207,0.01833269229316215,19.27264876589114,33.55394517269081,0.19768255812221677,0.23646545432882057,-41.743204200514946,-68.2603359493276
23005004501,45975.2466979,76785876.9714,Maine,"Cumberland County, ME",77.4,1.2668,72.6,16.9709667764142,4.5580657946889005,0,2.1531100478469,60.9333809928064,24.7364952129413,21.855459523251305,22.214977696134895,13.1061485668749,45.9752466979106,7678.587697142373,28.56768501592741,29.647174499984356,0.03632730766930801,19.25642852379,28.569292398401764,0.1968187301729145,0.1635017797834473,-41.90818782418843,-62.36760085494194
23005017002,72396.8107416,204319771.879,Maine,"Cumberland County, ME",84,3.0342,66,8.5911784068466,1.9064911484339,2.1621621621622,0.9316770186335,6.749772872823674,6.96852596707696,5.95611268542001,52.981338649688,2.62167017936874,72.39681074161693,20431.977187866287,44.985278687329256,78.88825614296293,0.03898266495541441,15.91830174721524,15.055484070875476,0.02435101201912336,0.02122335909923596,-33.3978198120893,-22.78801957315391
23005004502,59427.0437986,154677355.084,Maine,"Cumberland County, ME",80.7,1.6267,69.3,12.8356387306753,3.9267710267976,0,2.8507960014809,27.883770460062852,15.4935151046575,17.8504380280047,22.214977696134895,22.7385856094284,59.42704379858177,15467.735508358484,36.926241632168555,59.7212237227647,0.04379842400744899,17.78264115179076,21.23625737965767,0.10760615402945951,0.0709530405254457,-38.25659881109876,-44.6219056375051
23005017101,87959.4758079,194320648.337,Maine,"Cumberland County, ME",80.1,3.4249,69.9,21.328839672604698,4.3093270365998,0.4366812227073999,2.7027027027027,33.87322580164723,34.3779165667046,20.2952319050104,26.222139329308,20.5755680232444,87.9594758078767,19432.06483366183,54.65546744221616,75.02757534865202,0.02511618571828549,19.73551012692292,27.06881632518292,0.22675483669183685,0.14279969617085922,-43.45859207542734,-58.948336536829686
23005004803,45705.1020442,94268864.1803,Maine,"Cumberland County, ME",81.6,2.1573,68.4,19.6608877881501,9.0004522840344,0,3.1944879423739,19.655064563692417,30.6765782043195,47.8570774553292,22.214977696134895,28.0123555589055,45.70510204415017,9426.886418025671,28.39982496227564,36.39738942237383,0.04512725411946203,20.051165602911677,29.6832106956763,0.24714415501243617,0.17976557496686177,-44.42823337671249,-67.50299615996884
23005004802,41221.7661298,83464595.4504,Maine,"Cumberland County, ME",77.6,1.8898,72.4,16.0640301318267,3.6174294327213,0,4.3077837195484,59.02551271167508,22.6716947144343,15.8617422975049,22.214977696134895,44.9309726559211,41.2217661298401,8346.4595450436591,25.614010041864873,32.22584052547304,0.04911895319290786,19.27784865681928,32.94098001513406,0.1980251105848711,0.22727611217848473,-41.7354488135032,-70.40740934241094
23005004801,42905.5660793,71655222.9064,Maine,"Cumberland County, ME",78.4,1.4122,71.6,17.7087952697708,4.335883853247,0.6412540078375,0.8968609865470999,51.11999761702635,26.3816759415224,20.4628684210095,31.1712110280198,2.48025645022785,42.9055660792658,7165.522290643711,26.66027450023947,27.666219116479123,0.03892427918128932,19.03655882348048,26.323201891561176,0.18307195091074271,0.13302950419254428,-41.47080498298811,-55.79855863111426
